5.199554, 1, 9.390000
10.574390, 2, 9.450000
21.224971, 4, 40.620000
26.857538, 5, 41.190000
38.882409, 7, 180.500000
467.557072, 80, 186.130000
508.365351, 87, 197.330000
1522.337879, 264, 200.410000
2108.409069, 367, 201.560000
5.017497, 1, 9.390000
9.913105, 2, 27.230000
20.968168, 4, 38.800000
26.050525, 5, 42.970000
36.424859, 7, 186.020000
483.987361, 84, 240.190000
5.569029, 1, 9.390000
11.049763, 2, 28.380000
42.903243, 8, 39.320000
65.781131, 13, 42.880000
93.881373, 19, 178.080000
5.044902, 1, 9.390000
10.032246, 2, 10.090000
19.659279, 4, 41.930000
34.108858, 7, 192.670000
514.969469, 87, 195.000000
744.399806, 126, 208.240000
1044.815942, 181, 226.550000
1335.461944, 231, 298.520000
