created virtual environment CPython3.6.10.final.0-64 in 14197ms
  creator CPython3Posix(dest=/localscratch/orfanos.26527434.0/env, clear=False, global=False)
  seeder FromAppData(download=False, pip=latest, setuptools=latest, wheel=latest, via=copy, app_data_dir=/home/orfanos/.local/share/virtualenv/seed-app-data/v1.0.1)
  activators BashActivator,CShellActivator,FishActivator,PowerShellActivator,PythonActivator,XonshActivator
Ignoring pip: markers 'python_version < "3"' don't match your environment
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx512, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/pip-21.2.3+computecanada-py3-none-any.whl
Installing collected packages: pip
  Attempting uninstall: pip
    Found existing installation: pip 20.0.2
    Uninstalling pip-20.0.2:
      Successfully uninstalled pip-20.0.2
Successfully installed pip-21.2.3+computecanada
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx512, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/torch-1.6.0+computecanada-cp36-cp36m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/bayesian_optimization-1.2.0-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/cloudpickle-1.6.0+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/future-0.18.2+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/gym-0.18.0+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/box2d_py-2.3.5+computecanada-cp36-cp36m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/joblib-1.0.1+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/pandas-1.0.3+computecanada-cp36-cp36m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/Pillow-7.2.0+computecanada-cp36-cp36m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/pyglet-1.5.0+computecanada-py2.py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/scikit_learn-0.24.1+computecanada-cp36-cp36m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/scipy-1.4.1+computecanada-cp36-cp36m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/threadpoolctl-2.1.0+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/matplotlib-3.3.4+computecanada-cp36-cp36m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/numpy-1.19.5+computecanada-cp36-cp36m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/python_dateutil-2.8.2+computecanada-py2.py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/pytz-2021.3+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/pyparsing-2.4.7+computecanada-py2.py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/kiwisolver-1.3.1+computecanada-cp36-cp36m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/cycler-0.10.0+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/six-1.16.0+computecanada-py2.py3-none-any.whl
Installing collected packages: numpy, threadpoolctl, six, scipy, joblib, future, scikit-learn, pytz, python-dateutil, pyparsing, pyglet, Pillow, kiwisolver, cycler, cloudpickle, torch, pandas, matplotlib, gym, Box2d-py, bayesian-optimization
Successfully installed Box2d-py-2.3.5+computecanada Pillow-7.2.0+computecanada bayesian-optimization-1.2.0 cloudpickle-1.6.0+computecanada cycler-0.10.0+computecanada future-0.18.2+computecanada gym-0.18.0+computecanada joblib-1.0.1+computecanada kiwisolver-1.3.1+computecanada matplotlib-3.3.4+computecanada numpy-1.19.5+computecanada pandas-1.0.3+computecanada pyglet-1.5.0+computecanada pyparsing-2.4.7+computecanada python-dateutil-2.8.2+computecanada pytz-2021.3+computecanada scikit-learn-0.24.1+computecanada scipy-1.4.1+computecanada six-1.16.0+computecanada threadpoolctl-2.1.0+computecanada torch-1.6.0+computecanada
hello
5
5
State shape:  (8,)
Number of actions:  4

Episode 1	Average Score: -108.02 	steps: 81.00
Episode 2	Average Score: -114.49 	steps: 146.00
Episode 3	Average Score: -103.67 	steps: 254.00
Episode 4	Average Score: -104.66 	steps: 332.00
Episode 5	Average Score: -97.29 	steps: 404.00
Episode 6	Average Score: -95.23 	steps: 478.00
Episode 7	Average Score: -77.32 	steps: 557.00
Episode 8	Average Score: -77.84 	steps: 628.00
Episode 9	Average Score: -65.43 	steps: 730.00
Episode 10	Average Score: -93.13 	steps: 846.00
Episode 11	Average Score: -95.03 	steps: 943.00
Episode 12	Average Score: -95.66 	steps: 1070.00
Episode 13	Average Score: -97.47 	steps: 1158.00
Episode 14	Average Score: -99.39 	steps: 1229.00
Episode 15	Average Score: -115.45 	steps: 1341.00
Episode 16	Average Score: -120.71 	steps: 1430.00
Episode 17	Average Score: -139.04 	steps: 1521.00
Episode 18	Average Score: -137.12 	steps: 1592.00
Episode 19	Average Score: -136.50 	steps: 1693.00
Episode 20	Average Score: -133.32 	steps: 1765.00
Episode 21	Average Score: -137.97 	steps: 1858.00
Episode 22	Average Score: -141.02 	steps: 1978.00
Episode 23	Average Score: -150.66 	steps: 2067.00
Episode 24	Average Score: -152.28 	steps: 2170.00
Episode 25	Average Score: -153.08 	steps: 2307.00
Episode 26	Average Score: -149.90 	steps: 2397.00
Episode 27	Average Score: -144.52 	steps: 2513.00
Episode 28	Average Score: -150.18 	steps: 2601.00
Episode 29	Average Score: -160.06 	steps: 2703.00
Episode 30	Average Score: -156.67 	steps: 2780.00
Episode 31	Average Score: -160.55 	steps: 2946.00
Episode 32	Average Score: -163.64 	steps: 3058.00
Episode 33	Average Score: -164.27 	steps: 3137.00
Episode 34	Average Score: -168.98 	steps: 3217.00
Episode 35	Average Score: -175.71 	steps: 3357.00
Episode 36	Average Score: -173.47 	steps: 3477.00
Episode 37	Average Score: -172.01 	steps: 3574.00
Episode 38	Average Score: -175.12 	steps: 3663.00
Episode 39	Average Score: -172.34 	steps: 3818.00
Episode 40	Average Score: -169.31 	steps: 3890.00
Episode 41	Average Score: -170.03 	steps: 4040.00
Episode 42	Average Score: -168.49 	steps: 4139.00
Episode 43	Average Score: -164.92 	steps: 4217.00
Episode 44	Average Score: -165.35 	steps: 4329.00
Episode 45	Average Score: -168.12 	steps: 4455.00
Episode 46	Average Score: -172.59 	steps: 4574.00
Episode 47	Average Score: -171.35 	steps: 4656.00
Episode 48	Average Score: -175.70 	steps: 4777.00
Episode 49	Average Score: -175.98 	steps: 4863.00
Episode 50	Average Score: -176.06 	steps: 4976.00
Episode 51	Average Score: -175.53 	steps: 5111.00
Episode 52	Average Score: -179.97 	steps: 5223.00
Episode 53	Average Score: -179.06 	steps: 5313.00
Episode 54	Average Score: -185.03 	steps: 5421.00
Episode 55	Average Score: -185.81 	steps: 5555.00
Episode 56	Average Score: -186.50 	steps: 5671.00
Episode 57	Average Score: -191.60 	steps: 5872.00
Episode 58	Average Score: -189.38 	steps: 5950.00
Episode 59	Average Score: -186.67 	steps: 6034.00
Episode 60	Average Score: -189.04 	steps: 6106.00
Episode 61	Average Score: -190.93 	steps: 6230.00
Episode 62	Average Score: -193.52 	steps: 6306.00
Episode 63	Average Score: -191.17 	steps: 6392.00
Episode 64	Average Score: -192.74 	steps: 6487.00
Episode 65	Average Score: -191.20 	steps: 6619.00
Episode 66	Average Score: -192.86 	steps: 6746.00
Episode 67	Average Score: -193.42 	steps: 6840.00
Episode 68	Average Score: -192.50 	steps: 6998.00
Episode 69	Average Score: -194.76 	steps: 7095.00
Episode 70	Average Score: -195.18 	steps: 7250.00
Episode 71	Average Score: -194.85 	steps: 7336.00
Episode 72	Average Score: -195.80 	steps: 7467.00
Episode 73	Average Score: -195.32 	steps: 7623.00
Episode 74	Average Score: -198.31 	steps: 7727.00
Episode 75	Average Score: -197.88 	steps: 7837.00
Episode 76	Average Score: -195.71 	steps: 7994.00
Episode 77	Average Score: -197.28 	steps: 8152.00
Episode 78	Average Score: -195.36 	steps: 8291.00
Episode 79	Average Score: -193.62 	steps: 8386.00
Episode 80	Average Score: -191.36 	steps: 8472.00
Episode 81	Average Score: -192.08 	steps: 8585.00
Episode 82	Average Score: -194.92 	steps: 8715.00
Episode 83	Average Score: -193.82 	steps: 8857.00
Episode 84	Average Score: -194.11 	steps: 8972.00
Episode 85	Average Score: -194.22 	steps: 9104.00
Episode 86	Average Score: -196.41 	steps: 9244.00
Episode 87	Average Score: -199.69 	steps: 9369.00
Episode 88	Average Score: -201.54 	steps: 9543.00
Episode 89	Average Score: -200.51 	steps: 9655.00
Episode 90	Average Score: -199.05 	steps: 9733.00
Episode 91	Average Score: -199.58 	steps: 9869.00
Episode 92	Average Score: -198.72 	steps: 9981.00
Episode 93	Average Score: -199.70 	steps: 10110.00
Episode 94	Average Score: -199.20 	steps: 10215.00
Episode 95	Average Score: -198.24 	steps: 10340.00
Episode 96	Average Score: -198.54 	steps: 10477.00
Episode 97	Average Score: -196.47 	steps: 10585.00
Episode 98	Average Score: -197.10 	steps: 10712.00
Episode 99	Average Score: -195.67 	steps: 10805.00
Episode 100	Average Score: -196.07 	steps: 11011.00
Episode 100	Average Score: -196.07 	steps: 11011.00

Episode 101	Average Score: -197.27 	steps: 11137.00
Episode 102	Average Score: -197.18 	steps: 11210.00
Episode 103	Average Score: -196.04 	steps: 11347.00
Episode 104	Average Score: -195.42 	steps: 11504.00
Episode 105	Average Score: -196.03 	steps: 11634.00
Episode 106	Average Score: -195.43 	steps: 12194.00
Episode 107	Average Score: -197.03 	steps: 12286.00
Episode 108	Average Score: -197.00 	steps: 12911.00
Episode 109	Average Score: -198.56 	steps: 13375.00
Episode 110	Average Score: -197.31 	steps: 13740.00
Episode 111	Average Score: -197.83 	steps: 13913.00
Episode 112	Average Score: -198.71 	steps: 14046.00
Episode 113	Average Score: -198.12 	steps: 14157.00
Episode 114	Average Score: -199.05 	steps: 14268.00
Episode 115	Average Score: -199.14 	steps: 14393.00
Episode 116	Average Score: -199.06 	steps: 14555.00
Episode 117	Average Score: -195.55 	steps: 14707.00
Episode 118	Average Score: -195.62 	steps: 14815.00
Episode 119	Average Score: -194.78 	steps: 14929.00
Episode 120	Average Score: -194.66 	steps: 15080.00
Episode 121	Average Score: -194.51 	steps: 15232.00
Episode 122	Average Score: -193.77 	steps: 15349.00
Episode 123	Average Score: -191.60 	steps: 15446.00
Episode 124	Average Score: -191.42 	steps: 15622.00
Episode 125	Average Score: -191.20 	steps: 15751.00
Episode 126	Average Score: -190.35 	steps: 15960.00
Episode 127	Average Score: -191.69 	steps: 16104.00
Episode 128	Average Score: -190.20 	steps: 16317.00
Episode 129	Average Score: -189.08 	steps: 16460.00
Episode 130	Average Score: -190.62 	steps: 16628.00
Episode 131	Average Score: -188.12 	steps: 16858.00
Episode 132	Average Score: -186.93 	steps: 17025.00
Episode 133	Average Score: -185.45 	steps: 17178.00
Episode 134	Average Score: -182.90 	steps: 17325.00
Episode 135	Average Score: -179.78 	steps: 17540.00
Episode 136	Average Score: -179.48 	steps: 17694.00
Episode 137	Average Score: -179.33 	steps: 17803.00
Episode 138	Average Score: -176.72 	steps: 17985.00
Episode 139	Average Score: -177.36 	steps: 18129.00
Episode 140	Average Score: -177.67 	steps: 18277.00
Episode 141	Average Score: -178.00 	steps: 18565.00
Episode 142	Average Score: -177.62 	steps: 18817.00
Episode 143	Average Score: -177.88 	steps: 18947.00
Episode 144	Average Score: -177.12 	steps: 19082.00
Episode 145	Average Score: -175.33 	steps: 19237.00
Episode 146	Average Score: -174.25 	steps: 19521.00
Episode 147	Average Score: -174.63 	steps: 19623.00
Episode 148	Average Score: -171.05 	steps: 19849.00
Episode 149	Average Score: -170.01 	steps: 20250.00
Episode 150	Average Score: -168.56 	steps: 20510.00
Episode 151	Average Score: -168.93 	steps: 20627.00
Episode 152	Average Score: -165.40 	steps: 20787.00
Episode 153	Average Score: -165.00 	steps: 20919.00
Episode 154	Average Score: -161.04 	steps: 21092.00
Episode 155	Average Score: -160.25 	steps: 21289.00
Episode 156	Average Score: -158.82 	steps: 21438.00
Episode 157	Average Score: -156.99 	steps: 21841.00
Episode 158	Average Score: -156.32 	steps: 22063.00
Episode 159	Average Score: -158.29 	steps: 22171.00
Episode 160	Average Score: -155.73 	steps: 22362.00
Episode 161	Average Score: -153.25 	steps: 22567.00
Episode 162	Average Score: -150.74 	steps: 22842.00
Episode 163	Average Score: -151.59 	steps: 23059.00
Episode 164	Average Score: -149.28 	steps: 23250.00
Episode 165	Average Score: -149.69 	steps: 23440.00
Episode 166	Average Score: -148.05 	steps: 23565.00
Episode 167	Average Score: -147.67 	steps: 23904.00
Episode 168	Average Score: -147.97 	steps: 24174.00
Episode 169	Average Score: -145.67 	steps: 24292.00
Episode 170	Average Score: -144.30 	steps: 24481.00
Episode 171	Average Score: -143.05 	steps: 24616.00
Episode 172	Average Score: -141.69 	steps: 24813.00
Episode 173	Average Score: -140.61 	steps: 25031.00
Episode 174	Average Score: -137.61 	steps: 25145.00
Episode 175	Average Score: -137.61 	steps: 25373.00
Episode 176	Average Score: -137.82 	steps: 25709.00
Episode 177	Average Score: -135.88 	steps: 25849.00
Episode 178	Average Score: -136.22 	steps: 25994.00
Episode 179	Average Score: -136.75 	steps: 26300.00
Episode 180	Average Score: -138.99 	steps: 26487.00
Episode 181	Average Score: -137.17 	steps: 26726.00
Episode 182	Average Score: -130.82 	steps: 27426.00
Episode 183	Average Score: -131.13 	steps: 27738.00
Episode 184	Average Score: -129.38 	steps: 28084.00
Episode 185	Average Score: -128.01 	steps: 28231.00
Episode 186	Average Score: -124.62 	steps: 28666.00
Episode 187	Average Score: -120.17 	steps: 28965.00
